Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1677702540,2023-03-01T20:29:00Z,N128MA,"42.551212,-71.754646",600,69,128
1677702550,2023-03-01T20:29:10Z,N128MA,"42.549225,-71.751022",750,73,126
1677702554,2023-03-01T20:29:14Z,N128MA,"42.548309,-71.749336",825,74,125
1677702560,2023-03-01T20:29:20Z,N128MA,"42.547302,-71.747093",900,75,117
1677702567,2023-03-01T20:29:27Z,N128MA,"42.546745,-71.743721",1025,79,93
1677702572,2023-03-01T20:29:32Z,N128MA,"42.547073,-71.741158",1100,81,72
1677702578,2023-03-01T20:29:38Z,N128MA,"42.547714,-71.739037",1200,83,63
1677702583,2023-03-01T20:29:43Z,N128MA,"42.54895,-71.73629",1300,83,55
1677702588,2023-03-01T20:29:48Z,N128MA,"42.549728,-71.734795",1375,82,52
1677702592,2023-03-01T20:29:52Z,N128MA,"42.550793,-71.732933",1450,83,51
1677702597,2023-03-01T20:29:57Z,N128MA,"42.551956,-71.731079",1500,84,46
1677702602,2023-03-01T20:30:02Z,N128MA,"42.554077,-71.728859",1600,86,25
1677702607,2023-03-01T20:30:07Z,N128MA,"42.556,-71.728111",1675,87,7
1677702611,2023-03-01T20:30:11Z,N128MA,"42.557465,-71.728111",1725,88,355
1677702616,2023-03-01T20:30:16Z,N128MA,"42.559387,-71.728928",1825,86,336
1677702621,2023-03-01T20:30:21Z,N128MA,"42.561127,-71.730232",1925,83,328
1677702630,2023-03-01T20:30:30Z,N128MA,"42.564148,-71.733109",2050,86,322
1677702635,2023-03-01T20:30:35Z,N128MA,"42.56575,-71.734917",2100,86,319
1677702639,2023-03-01T20:30:39Z,N128MA,"42.566761,-71.736191",2175,84,316
1677702644,2023-03-01T20:30:44Z,N128MA,"42.568111,-71.738037",2225,85,311
1677702650,2023-03-01T20:30:50Z,N128MA,"42.569508,-71.740593",2325,83,305
1677702655,2023-03-01T20:30:55Z,N128MA,"42.57074,-71.742722",2375,86,307
1677702660,2023-03-01T20:31:00Z,N128MA,"42.571976,-71.744682",2450,88,310
1677702665,2023-03-01T20:31:05Z,N128MA,"42.573486,-71.747025",2525,90,311
1677702669,2023-03-01T20:31:09Z,N128MA,"42.574493,-71.74865",2575,90,309
1677702671,2023-03-01T20:31:11Z,N128MA,"42.574768,-71.749084",2600,90,309
1677702675,2023-03-01T20:31:15Z,N128MA,"42.576118,-71.75177",2675,90,301
1677702678,2023-03-01T20:31:18Z,N128MA,"42.576736,-71.753143",2700,90,300
1677702682,2023-03-01T20:31:22Z,N128MA,"42.577148,-71.754143",2750,90,297
1677702687,2023-03-01T20:31:27Z,N128MA,"42.5784,-71.757713",2825,90,294
1677702691,2023-03-01T20:31:31Z,N128MA,"42.578888,-71.759575",2875,91,291
1677702696,2023-03-01T20:31:36Z,N128MA,"42.579422,-71.761993",2950,89,284
1677702700,2023-03-01T20:31:40Z,N128MA,"42.579803,-71.763878",3025,89,283
1677702703,2023-03-01T20:31:43Z,N128MA,"42.580215,-71.766464",3075,90,282
1677702706,2023-03-01T20:31:46Z,N128MA,"42.580444,-71.768127",3100,91,280
1677702709,2023-03-01T20:31:49Z,N128MA,"42.580627,-71.76944",3150,91,280
1677702712,2023-03-01T20:31:52Z,N128MA,"42.580765,-71.770622",3175,92,279
1677702715,2023-03-01T20:31:55Z,N128MA,"42.5811,-71.77317",3225,92,279
1677702718,2023-03-01T20:31:58Z,N128MA,"42.581284,-71.774956",3275,91,278
1677702721,2023-03-01T20:32:01Z,N128MA,"42.58147,-71.776558",3325,91,278
1677702724,2023-03-01T20:32:04Z,N128MA,"42.581657,-71.778214",3350,91,278
1677702727,2023-03-01T20:32:07Z,N128MA,"42.58189,-71.780006",3400,89,278
1677702733,2023-03-01T20:32:13Z,N128MA,"42.582184,-71.783234",3425,94,276
1677702736,2023-03-01T20:32:16Z,N128MA,"42.582367,-71.785294",3425,98,275
1677702739,2023-03-01T20:32:19Z,N128MA,"42.582504,-71.787102",3425,101,275
1677702745,2023-03-01T20:32:25Z,N128MA,"42.582779,-71.791039",3475,101,275
1677702751,2023-03-01T20:32:31Z,N128MA,"42.583099,-71.794472",3500,96,277
1677702757,2023-03-01T20:32:37Z,N128MA,"42.583466,-71.798088",3525,92,278
1677702763,2023-03-01T20:32:43Z,N128MA,"42.583878,-71.801521",3525,92,278
1677702769,2023-03-01T20:32:49Z,N128MA,"42.584198,-71.805016",3525,90,275
1677702775,2023-03-01T20:32:55Z,N128MA,"42.58429,-71.808388",3525,90,269
1677702778,2023-03-01T20:32:58Z,N128MA,"42.584217,-71.810028",3525,89,266
1677702782,2023-03-01T20:33:02Z,N128MA,"42.58403,-71.811943",3525,89,262
1677702785,2023-03-01T20:33:05Z,N128MA,"42.583893,-71.813477",3525,89,261
